Name,Born,Died,Age,Gender,Class/Dept,Ticket,Fare,Cabin,Joined,Occupation,Survived?,Boat,Body,Nationality,URL
"REID, Mr James",1876,,36,Male,Engineering Crew,,,,Belfast,Fireman,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/james-reid.html
"REID, Mr Robert Thomas",1881,1912,31,Male,Engineering Crew,,,,Southampton,Trimmer,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/robert-read.html
"RENTOWL, Mr Philip Charles Thomas",1886,1912,26,Male,Engineering Crew,,,,Southampton,Fireman,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/s-sullivan.html
"REVELL, Mr William James Francis",1880,1912,31,Male,Victualling Crew,,,,Belfast,Saloon Steward (1st class),LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/william-revell.html
"RICALDONE, Sig. Rinaldo Renato",1889,1912,22,Male,Restaurant Staff,,,,Southampton,Assistant Waiter,LOST,,,Italian,https://www.encyclopedia-titanica.org/titanic-victim/rinaldo-renato-ricaldone.html
"RICE, Mr Charles John",1880,1949,32,Male,Engineering Crew,,,,Southampton,Fireman,SAVED,10,,English,https://www.encyclopedia-titanica.org/titanic-survivor/charles-rice.html
"RICE, Mr John Reginald",1886,1912,25,Male,Victualling Crew,,,,Southampton,1st Class Clerk,LOST,,64,English,https://www.encyclopedia-titanica.org/titanic-victim/john-reginald-rice.html
"RICE, Mr Percy",1893,1912,19,Male,Victualling Crew,,,,Southampton,3rd Class Steward,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/percy-rice.html
"RICHARDS, Mr Joseph James",1882,1912,30,Male,Engineering Crew,,,,Southampton,Fireman,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/joseph-james-richards.html
"RICKMAN, Mr George Albert",1876,1912,36,Male,Engineering Crew,,,,Southampton,Fireman,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/george-albert-rickman.html
"RICKS, Mr Cyril Gordon",1890,1912,22,Male,Victualling Crew,,,,Southampton,Storekeeper,LOST,,100,English,https://www.encyclopedia-titanica.org/titanic-victim/cyril-ricks.html
"RIDOUT, Mr Walter George",1882,1912,29,Male,Victualling Crew,,,,Southampton,Second Class Saloon Steward,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/w-ridout.html
"RIGOZZI, Mr Abele",1890,1912,22,Male,Restaurant Staff,,,,Southampton,Assistant Waiter,LOST,,115,Swiss,https://www.encyclopedia-titanica.org/titanic-victim/abele-rigozzi.html
"RIMMER, Mr Gilbert",1883,1912,29,Male,Victualling Crew,,,,Southampton,Saloon Steward,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/gilbert-rimmer.html
"ROBERTON, Mr George Edward",1892,1912,19,Male,Victualling Crew,,,,Southampton,Assistant Saloon Steward (2nd Class),LOST,,127,English,https://www.encyclopedia-titanica.org/titanic-victim/george-edward-roberton.html
"ROBERTS, Mr Frank John",1875,1912,36,Male,Victualling Crew,,,,Belfast,Third Butcher,LOST,,231,English,https://www.encyclopedia-titanica.org/titanic-victim/frederick-frank-roberts.html
"ROBERTS, Mr Hugh H.",1871,1912,41,Male,Victualling Crew,,,,Belfast,Bed Room Steward,LOST,,93,Welsh,https://www.encyclopedia-titanica.org/titanic-victim/hugh-roberts.html
"ROBERTS, Mr Robert George",1877,1912,35,Male,Engineering Crew,,,,Southampton,Fireman,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/robert-george-roberts.html
"ROBINSON, Mr James William",1881,1912,30,Male,Victualling Crew,,,,Southampton,Saloon Steward (1st class),LOST,,151,English,https://www.encyclopedia-titanica.org/titanic-victim/james-william-robinson.html
"ROBINSON, Mr Samuel",1869,,43,Male,Deck Crew,,,,Belfast,Able Seaman,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/samuel-robinson.html
"ROBINSON, Mr Thomas",1882,,30,Male,Engineering Crew,,,,Belfast,Trimmer,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/thomas-robinson.html
"ROGAN, Mr Patrick",1869,,43,Male,Engineering Crew,,,,Belfast,Greaser,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/patrick-rogan.html
"ROGERS, Mr Edward James William",1880,1912,31,Male,Victualling Crew,,,,Southampton,Assistant Storekeeper,LOST,,282,English,https://www.encyclopedia-titanica.org/titanic-victim/edward-james-william-rogers.html
"ROGERS, Mr Michael Joseph",1885,1912,26,Male,Victualling Crew,,,,Southampton,Saloon Steward,LOST,,,Irish,https://www.encyclopedia-titanica.org/titanic-victim/michael-rogers.html
"ROSS, Mr Horace Leopold",1874,1940,38,Male,Victualling Crew,,,,Southampton,Scullion,SAVED,13,,English,https://www.encyclopedia-titanica.org/titanic-survivor/horace-leopold-ross.html
"ROTTA, Sig. Angelo Mario",1888,1912,23,Male,Restaurant Staff,,,,Southampton,Waiter,LOST,,,Italian,https://www.encyclopedia-titanica.org/titanic-victim/angelo-mario-rotta.html
"ROUS, Mr Arthur John",1886,1912,26,Male,Engineering Crew,,,,Belfast,Plumber,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/arthur-rous.html
"ROUSSEAU, Mr Pierre",1863,1912,48,Male,Restaurant Staff,,,,Southampton,Chef,LOST,,,French,https://www.encyclopedia-titanica.org/titanic-victim/pierre-rousseau.html
"ROWE, Mr Edgar Maurice",1880,1912,31,Male,Victualling Crew,,,,Belfast,Saloon Steward (1st class),LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/edgar-maurice-rowe.html
"ROWE, Mr George Thomas",1881,1974,31,Male,Deck Crew,,,,Belfast,Quartermaster,SAVED,C,,English,https://www.encyclopedia-titanica.org/titanic-survivor/george-thomas-rowe.html
"RUDD, Mr Henry",1888,1912,24,Male,Engineering Crew,,,,Southampton,Engineers' storekeeper,LOST,,86,English,https://www.encyclopedia-titanica.org/titanic-victim/henry-rudd.html
"RULE, Mr Samuel James",1854,1915,58,Male,Victualling Crew,,,,Belfast,Bathroom Steward (1st Class),SAVED,,,English,https://www.encyclopedia-titanica.org/titanic-survivor/samuel-james-rule.html
"RUSSELL, Mr Boysie Richard",1894,1912,17,Male,Victualling Crew,,,,Southampton,Saloon Steward (2nd class),LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/boysie-richard-russell.html
"RUTTER, Mr Sidney Frank",1885,1912,26,Male,Engineering Crew,,,,Southampton,Fireman,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/sidney-frank-rutter-graves.html
"RYAN, Mr Thomas",1884,1912,28,Male,Victualling Crew,,,,Southampton,Steward,LOST,,,Channel Islander,https://www.encyclopedia-titanica.org/titanic-victim/tom-ryan.html
"RYERSON, Mr William Edwy",1878,1949,33,Male,Victualling Crew,,,,Southampton,Saloon Steward (2nd class),SAVED,,,Canadian,https://www.encyclopedia-titanica.org/titanic-survivor/william-edwy-ryerson.html
"SACCAGGI, Mr Giovanni Giuseppe Emilio",1887,1912,24,Male,Restaurant Staff,,,,Southampton,Assistant Waiter,LOST,,,Italian,https://www.encyclopedia-titanica.org/titanic-victim/giovanni-giuseppe-emilio-saccaggi.html
"SALUSSOLIA, Mr Govanni",1886,1912,25,Male,Restaurant Staff,,,,Southampton,Glass Man,LOST,,,Italian,https://www.encyclopedia-titanica.org/titanic-victim/govanni-salussolia.html
"SAMUEL, Mr Owen Wilmore",1865,1912,47,Male,Victualling Crew,,,,Southampton,Saloon Steward (2nd class),LOST,,217,Welsh,https://www.encyclopedia-titanica.org/titanic-victim/owen-wilmore-samuel.html
"SANGSTER, Mr Charles Edward",1882,1912,30,Male,Engineering Crew,,,,Southampton,Fireman,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/charles-sangster.html
"SARTORI, Sig. Lazar",1888,1912,24,Male,Restaurant Staff,,,,Southampton,Assistant Glass Man,LOST,,,Italian,https://www.encyclopedia-titanica.org/titanic-victim/lazar-sartori.html
"SAUNDERS, Mr F.",1890,1912,22,Male,Engineering Crew,,,,Southampton,Fireman,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/f-saunders.html
"SAUNDERS, Mr Walter Ernest",1886,1912,25,Male,Engineering Crew,,,,Southampton,Trimmer,LOST,,184,English,https://www.encyclopedia-titanica.org/titanic-victim/walter-ernest-saunders.html
"SAUNDERS, Mr William Ernest",1879,1912,32,Male,Victualling Crew,,,,Southampton,Saloon Steward,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/d-saunders.html
"SAUNDERS, Mr William Henry",1881,1912,31,Male,Engineering Crew,,,,Southampton,Fireman,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/w-saunders.html
"SAVAGE, Mr Charles James",1888,1957,23,Male,Victualling Crew,,,,Southampton,Steward,SAVED,11,,English,https://www.encyclopedia-titanica.org/titanic-survivor/charles-savage.html
"SAWYER, Mr Robert James",1880,1912,31,Male,Deck Crew,,,,Southampton,Window Cleaner,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/robert-james-sawyer.html
"SCARROTT, Mr Joseph George",1878,1938,33,Male,Deck Crew,,,,Southampton,Able Seaman,SAVED,14,,English,https://www.encyclopedia-titanica.org/titanic-survivor/joseph-george-scarrott.html
"SCAVINO, Sig. Candido",1869,1912,42,Male,Restaurant Staff,,,,Southampton,Carver,LOST,,,Italian,https://www.encyclopedia-titanica.org/titanic-victim/candido-scavino.html
"SCOTT, Mr Archibald",1870,1912,42,Male,Engineering Crew,,,,Southampton,Fireman,LOST,,,Irish,https://www.encyclopedia-titanica.org/titanic-victim/archibald-scott.html
"SCOTT, Mr Frederick William",1884,1915,28,Male,Engineering Crew,,,,Southampton,Greaser,SAVED,4,,English,https://www.encyclopedia-titanica.org/titanic-survivor/frederick-william-scott.html
"SCOTT, Mr John",1892,1912,20,Male,Victualling Crew,,,,Southampton,Assistant boots steward (1st Class),LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/john-scott.html
"SCOVELL, Mr Robert",1857,1912,55,Male,Victualling Crew,,,,Southampton,Saloon Steward (2nd class),LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/robert-scovell.html
"SEDUNARY, Mr Samuel Francis",1887,1912,25,Male,Victualling Crew,,,,Southampton,Second third class steward,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/sidney-francis-sedunary.html
"SELF, Mr Albert Charles Edward",1888,1954,24,Male,Engineering Crew,,,,Southampton,Fireman,SAVED,,,English,https://www.encyclopedia-titanica.org/titanic-survivor/edward-self.html
"SELF, Mr Alfred Henry",1872,1912,39,Male,Engineering Crew,,,,Southampton,Greaser,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/alfred-henry-self.html
"SENIOR, Mr Harry",1881,1937,31,Male,Engineering Crew,,,,Southampton,Fireman,SAVED,,,English,https://www.encyclopedia-titanica.org/titanic-survivor/harry-senior.html
"SESIA, Sig. Giacomo",1888,1912,24,Male,Restaurant Staff,,,,Southampton,Waiter,LOST,,,Italian,https://www.encyclopedia-titanica.org/titanic-victim/giacomo-sesia.html
